Year,Aruba,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,"Macedonia, FYR",Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People’s Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Swaziland,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1995,619000,,9000,304000,,21155218.9715957,2315000,2289000,12000,34000,220000,3726000,17173000,,34000,5560000,138000,124000,156000,3466000,2311000,1598000,,160600,131000,387000,284000,1991000,442000,,4800,521000,26000,16932000,39224000,6946000,,1540000,20034000,,,35000,37000,1399000,23000,28000,785000,4485000,742000,224000,361000,2100000,3381000,14847000,21000,60000,2124000,1776000,520000,43574262.9021617,70026359.3312127,77640908.4451385,33755269.3697933,295606839.279848,440000,2871000,196847000,315000,32971000,530000,103000,258870000,5257729.10187614,1779000,318000,60033000,,,125000,21719000,85000,286000,,,45000,,,10130000,108000,,563000,1362000,106000,377160814.732334,,271000,4510402.44689479,1485000,145000,2878000,153694522.88904,166110056.917668,11175941.9261109,4289575.30734526,4324000,6800830.20489392,,2124000,,4818000,568000,61000,190000,2215000,31052000,1147000,1075000,3345000,,918000,36000,220000,3900,79000,3753000,72000,35290000,60000,450000,,,231000,47000373.604955,4354104.52482359,5129818.54678512,59000,403000,31494402.8014604,143766666.793812,209000,107417905.46647,650000,768000,539000,4202000,,2602000,233000,32000,75000,315000,24178776.4857649,20241000,5500,137527073.242924,147000,42000,1116000,194000,13830125.6501319,,108000,676000,,,422000,192000,7469000,60637000,272000,86000,35000,656000,281000,6574000,2880000,363000,,,358032403.158873,279000,9884342.71120302,378000,345000,479000,1760000,53000,42000,19215000,4773755.39967361,3131000,,4572000,438000,,544155.659713142,329275244.007593,172000,309000,5445000,10290000,,3809176.52972122,3325000,29000,280000,6070000,11800,13800,235000,28000,,,12810909.3332497,,12937922.9223789,15026901.1176526,6200,43000,903000,732000,2310000,300000,460000,121000,815000,79000,,43060887.9396036,53414725.7251517,53000,6952000,,218000,38669000,,13620043.6298214,29000,3809176.52972122,12937922.9223789,260000,4120000,7083000,900,285000,160000,3716000,106154440.014771,2022000,43318000,92000,60000,700000,219000,454000,1351000,44000,524005938.610329,68000,,61000,4488000,163000,1416000
1996,641000,,21000,287000,,21929046.5418738,2572000,2614000,13000,35000,228000,4165000,17090000,,27000,5829000,143000,131000,166000,2795000,1988000,1633000,,234000,133000,390000,313000,2666000,447000,,5200,512000,21000,17286000,41706000,6730000,,1450000,22765000,,,37000,39000,631000,24000,37000,781000,4563000,999000,214000,373000,1950000,4558000,15205000,20000,63000,2125000,1926000,605000,47954666.666349,76476894.5402131,84144563.4977342,41650526.1016344,311605311.303343,494000,3528000,202466000,417000,34027000,665000,109000,267764000,6201841.02880135,1724000,340000,62406000,,17600,145000,22936000,117000,305000,,12000,77000,,,9233000,108000,,520000,1373000,92000,390435529.627331,,263000,5096742.19068822,2914000,150000,2979000,168927518.432825,183042294.060697,12793189.0970423,4746745.59934269,5034000,7968572.47719704,,2288000,,5289000,693000,51000,201000,2100000,32943000,1162000,1106000,3837000,202000,947000,42000,260000,4200,84000,3684000,76000,37374000,93000,424000,,,236000,48999474.563215,5483445.94950476,5810806.29637244,56000,302000,34553041.0292488,160784172.605575,312000,116666372.752809,832000,724000,565000,4690000,,2693000,226000,29000,83000,339000,24838167.387585,21395000,6200,153749144.594605,136000,98000,1054000,490000,14612824.1923187,,71000,736000,,,487000,194000,7138000,64165000,461000,91000,68000,822000,303000,6580000,2746000,394000,,,372368671.784731,349000,9982779.64650632,369000,362000,584000,2049000,69000,61000,19410000,5543021.73475226,3065000,,4567000,426000,220000,587557.702596085,342980932.599758,164000,327000,5205000,16208000,,3930661.56568701,,38000,282000,6048000,10300,21900,283000,30000,,,14581047.8758994,,14718358.1560776,15252260.1415559,6400,53000,951000,832000,2376000,315000,365000,131000,830000,88000,,47402777.3654004,61473772.234884,58000,7244000,700,217000,40555000,,14390852.8446662,27000,3930661.56568701,14718358.1560776,266000,3885000,7966000,1000,315000,174000,3854000,119330471.537652,2152000,46489000,173000,58000,759000,244000,373000,1607000,46000,554521062.91434,73000,,74000,4915000,264000,1597000
1997,650000,,45000,119000,,23843320.5674855,2476000,2764000,23000,26000,240000,4318000,16647000,,11000,6037000,148000,138000,182000,2980000,2600000,1618000,115000,253500,146000,380000,355000,2850000,472000,,5400,607000,17000,17669000,43855000,7039000,,1644000,23770000,,,30000,27000,639000,26000,45000,811000,4706000,1153000,205000,381000,2088000,4976000,15837000,20000,65000,2158000,2211000,635000,48585527.9136701,78919919.9818043,84584761.878381,50328496.6908434,336618903.673664,529000,3656000,217627000,410000,39553000,730000,139000,285078000,6016076.9399905,1832000,359000,66591000,,17200,167000,23215000,313000,325000,,17000,85000,,,10070000,111000,,576000,1382000,76000,409910491.296991,,307000,5491663.54706212,4178000,149000,2887000,178367520.439637,193466406.243994,13720194.8144386,5058733.43374634,5185000,8581707.78167398,,2374000,,5587000,860000,15000,202000,2010000,34692000,1192000,1132000,4218000,284000,928000,87000,219000,5100,88000,3908000,79000,36683000,193000,558000,,,248000,49034476.3308684,5867652.96503279,5655603.27679372,57000,366000,41111241.7945881,170836153.579156,313000,120574447.678588,1012000,778000,635000,3836000,,3072000,259000,21000,101000,366000,26797079.2833441,19351000,6400,163760834.722678,121000,75000,1111000,491000,15919073.5344448,,55000,695000,,,536000,207000,6211000,65816000,502000,105000,68000,611000,358000,7841000,2702000,422000,,,389794774.590836,376000,11171054.0798104,375000,421000,649000,2223000,74000,66000,19520000,5416792.87259405,3242000,,4798000,395000,210000,613460.465187399,365920109.233493,180000,333000,5149000,17463000,,4161829.07131035,,30000,314000,5894000,13800,7500,387000,28000,,,14532499.4045806,,14668744.3798028,16591607.2996417,4800,61000,814000,974000,2388000,269000,439000,130000,891000,93000,,48039930.0167829,70237912.2268475,92000,7294000,2100,257000,40142000,,15707953.6909715,26000,4161829.07131035,14668744.3798028,324000,4263000,9040000,1000,347000,175000,7558000,122781598.374137,2316000,47767000,960000,65000,814000,244000,393000,1716000,50000,584236343.031222,68000,,80000,4976000,341000,1336000
1998,647000,,52000,184000,,26232082.7346466,2991000,3012000,32000,36000,234000,4167000,17352000,,15000,6179000,152000,160000,172000,2667000,2898000,1528000,148000,355000,176000,370000,387000,4818000,512000,,6200,750000,7500,18870000,43820000,7185000,,1759000,25073000,,,53000,20000,674000,27000,52000,943000,4724000,1390000,199000,404000,2223000,5482000,16511000,21000,66000,2073000,2309000,678000,49142086.8253792,82009373.8959534,84599202.009781,47316004.3617943,346828854.844023,511000,3213000,229558000,188000,41892000,825000,112000,297044000,7315523.79424499,1867000,371000,70109000,,13400,195000,23710000,317000,348000,,23000,91000,,,10916000,116000,,636000,1137000,66000,423634214.551775,7137000,321000,5605375.82332597,4499000,147000,2871000,180091970.234015,196551528.037184,15172481.5892157,5853633.13064278,4606000,9200136.67173763,,2359000,,6064000,1124000,45000,232000,1942000,34933000,1225000,1772000,4106000,257000,792000,59000,287000,5700,93000,4250000,77000,39703000,200000,631000,,,252000,52244638.4499353,5965710.71377474,6650396.95549548,59000,381000,40360075.5684658,174979900.723306,290000,123256942.432428,1416000,789000,576000,4517000,,3095000,278000,19000,121000,396000,29335310.2414293,19392000,6400,167072584.631455,157000,83000,1182000,478000,17429068.8151288,,165000,490000,,,558000,220000,5551000,65617000,614000,104000,41000,739000,406000,9312000,3256000,464000,,1475000,402132033.899691,424000,12231887.8379451,429000,431000,726000,2149000,64000,67000,18780000,5468732.11265714,3396000,,5539000,350000,200000,627103.905025571,378040977.884387,189000,320000,4831000,16188000,,4280668.70448291,,36000,352000,5122000,15800,12900,542000,36000,,,16497849.4090589,,16631400.6556149,17659615.6586717,5600,55000,896000,977000,2573000,284000,458000,128000,1267000,111000,,48569690.6487704,66473341.7306584,69000,7843000,3200,300000,42896000,,17228879.255833,27000,4280668.70448291,16631400.6556149,334000,4718000,8960000,1000,450000,195000,6208000,126849764.135999,2163000,46377000,811000,67000,685000,279000,422000,1520000,52000,602201520.415625,78000,,88000,5732000,362000,2090000
1999,683000,,45000,371000,2347000,30108429.3455838,3393000,2898000,41000,41000,232000,4459000,17467000,,26000,6369000,80000,117000,173000,2472000,3280000,1577000,147000,74900,181000,355000,342000,5107000,515000,,7200,843000,10000,19411000,42625000,7154000,,1632000,27047000,,,80000,14000,546000,24000,67000,1032000,4858000,1561000,198000,395000,2434000,5610000,17116000,21000,74000,2023000,2649000,749000,54906341.8670506,83226324.7100811,93425255.035163,45138618.2474545,355060747.946175,518000,4490000,240992000,57000,45440000,950000,115000,306801000,7619879.76131559,1831000,410000,73147000,,16100,178000,23341000,384000,373000,,27000,96000,,,12164000,125000,,823000,1162000,75000,440601429.246047,7837000,371000,5745040.07443724,3805000,143000,2789000,186054117.530234,202988786.177948,15598988.6756565,5805238.97811152,4728000,9697220.09416253,,2482000,,6403000,1321000,30000,263000,2312000,36516000,1248000,1790000,4438000,394000,862000,48000,368000,5100,84000,4660000,84000,40258000,259000,673000,,,264000,52365644.5609655,6111186.98249494,6859082.09668579,60000,436000,41685961.1953896,182807188.213473,308000,133285043.003941,1422000,863000,544000,5050000,,3817000,278000,14000,138000,430000,33648873.8098684,19043000,4600,174614669.620542,181000,82000,1214000,435000,20133615.156902,,138000,502000,,24000,578000,254000,7931000,68275000,635000,100000,39000,776000,468000,9874000,3223000,492000,,1596000,413756155.974489,503000,13336227.205879,432000,457000,694000,2171000,55000,67000,17950000,5590897.26899134,3024000,,5379000,269000,300000,668065.906259255,390902896.493441,211000,357000,5224000,18820000,,4529947.04461371,,39000,369000,5604000,,10600,658000,34000,,,17158540.1609624,,17288675.3352213,18923933.6567034,5800,57000,975000,884000,2595000,289000,445000,125000,1386000,121000,,54249516.2448158,63449651.7440019,70000,8651000,4500,,43076000,,19831007.0079601,31000,4529947.04461371,17288675.3352213,358000,4832000,6893000,1100,564000,189000,4232000,133073961.990361,2073000,48509000,487000,68000,587000,284000,484000,1782000,51000,627136443.352676,85000,,58000,5890000,404000,2250000
2000,721000,,51000,317000,2949000,33912574.0684315,3907000,2909000,45000,44000,207000,4931000,17982000,,29000,6457000,96000,126000,199000,2785000,3869000,1544000,171000,60000,196000,332000,319000,5313000,545000,,7600,1104000,11200,19627000,44000000,7821000,,1742000,31229000,,,103000,19000,557000,24000,115000,1088000,4991000,1741000,191000,354000,2686000,4773000,18983000,20100,70000,3535000,2978000,866000,62827787.639393,91242719.1296048,105024808.485463,56267123.94778,383005299.832048,627000,5116000,255220000,70000,46403000,1220000,136000,324840000,8359066.87658638,1971000,294000,77190000,,20500,155000,23212000,387000,399000,,33000,79000,,,13096000,129000,,826000,1287000,105000,465918742.247887,8814000,471000,6010316.65133738,5831000,140000,2992000,208799726.108367,226885253.203434,16509188.334666,5587980.12313076,5064000,10883905.0430818,,2649000,,6646000,1342000,78000,303000,2417000,41181000,1323000,1580000,4757000,1683000,899000,59000,466000,4800,73000,5322000,78000,43156000,191000,742000,,,270000,55645810.2153391,6213574.22487537,6448003.82861243,61600,400000,46860025.075615,207565287.608929,302000,147090293.06921,1083000,852000,509000,5197000,,4278000,300000,18000,160000,467000,37374434.0264325,20641000,5200,199296908.340491,224000,86000,1216000,416000,22301492.6280266,,137000,529000,,30000,656000,228000,10222000,71197000,656000,110000,50000,813000,486000,10003000,3104000,464000,,1780000,439173049.769729,571000,15071837.3665057,557000,484000,800000,1992000,58000,58000,17400000,5806116.37499507,3341000,,5599000,289000,310000,572454.106349939,417740688.888107,252000,378000,5264000,21169000,104000,4826435.64997745,6585000,38000,389000,6062000,5200,15800,795000,43000,,,17417829.268264,,17553281.4329865,20658673.127553,7100,57000,1053000,1090000,3828000,281000,432000,130000,2100000,152000,,62074180.1801118,73962974.8144234,60000,9579000,7700,3400,45804000,,21989376.2738497,35000,4826435.64997745,17553281.4329865,399000,5058000,9586000,1100,459000,193000,6431000,152605697.866566,1968000,51238000,302000,73000,469000,272000,546000,2140000,58000,677316502.340359,88000,,73000,5872000,457000,1967000
2001,691000,,67000,354000,3516000,34786173.8259798,4134000,2620000,123000,36000,215000,4856000,18180000,,36000,6452000,88000,128000,207000,3186000,4388000,1538000,139000,61000,196000,278000,316000,4773000,507000,,6400,1193000,9900,19679000,43763000,7455000,,1723000,33167000,,,55000,27000,616000,19400,134000,1131000,4850000,1736000,205000,334000,2697000,5405000,17861000,21600,66000,3684000,2882000,901000,68262332.6393301,90337753.7743654,110806822.581537,62602043.0902231,384056400.986132,641000,4357000,253457000,113000,48565000,1320000,148000,320374000,8717809.03301892,1999000,348000,75202000,,15300,169000,20982000,302000,439000,,38000,57000,7800,,14057000,123000,,835000,1159000,99000,456827494.090135,8878000,518000,6312238.91593421,6544000,142000,3070000,215954911.584258,234816074.652901,17243145.7424395,5827891.56014743,5153000,11377212.2977886,,2537000,,6353000,1402000,127000,301000,1196000,39563000,1277000,1672000,4772000,2693000,841000,99000,605000,4600,71000,5147000,73000,41657000,173000,837000,,,250000,54161735.266836,6509746.42412378,6784845.59740158,56500,337000,49439896.4338325,217823923.367602,295000,151373425.059654,1271000,836000,591000,5842000,,4380000,270000,16000,170000,461000,37111513.3034265,19810000,5400,209132585.781498,99000,89000,1180000,475000,22128256.8680851,,166000,444000,323000,,660000,266000,12775000,66884000,670000,101000,52000,850000,483000,9500000,3073000,361000,,1900000,428110836.916162,829000,15839887.1597037,500000,519000,901000,1797000,54000,54000,15000000,6049446.93645206,3551000,,5392000,279000,43000,609766.02826577,414345739.790387,228000,376000,4938000,21595000,113000,4486399.64478678,6727000,50000,396000,5857000,,24100,735000,49000,,,17958064.9612876,,18093395.5949924,21296298.4047903,7500,54000,1219000,1219000,4108000,283000,403000,130000,2192000,166000,,67446328.5513504,77796326.443395,57000,10133000,5200,5200,44205000,,22092323.2763692,32000,4486399.64478678,18093395.5949924,383000,5387000,10783000,1100,501000,205000,9174000,159868887.770583,1892000,46927000,345000,71000,584000,296000,527000,2330000,53000,678163530.170539,88000,,76000,5787000,492000,2217000
2002,643000,,91000,470000,3387000,39041453.1429148,5445000,2820000,162000,,218000,4841000,18611000,576000,74000,6720000,72000,150000,207000,3433000,4831000,1513000,160000,63000,200000,284000,334000,3785000,498000,,5600,1274000,2900,20057000,43246000,6868000,,1412000,36803000,,,28000,22000,567000,18900,126000,1113000,4844000,1656000,218000,303000,2418000,4743000,17969000,22500,69000,3436000,2811000,988000,73898462.8922018,96207120.2559017,119838774.728633,69628492.3806684,395426088.881964,683000,4906000,259072000,101000,50331000,1362000,156000,325998000,9574726.32550477,2043000,398000,77012000,,19100,208000,22307000,298000,483000,,43000,81000,,,14180000,132000,,884000,1059000,104000,462463728.110485,10689000,550000,6958343.87330376,6944000,140000,3013000,227387315.229456,247571983.742155,18502305.9560574,5742429.54610286,5033000,12762850.3985726,,2384000,,6476000,1585000,,285000,861900,39799000,1266000,2384000,5239000,3678000,838000,140000,787000,4900,69000,5347000,96000,40722000,215000,956000,,,253000,51665609.207898,7236697.59982807,6940163.42251951,48700,393000,53171001.7528383,232559655.536445,287000,157448168.22514,1428000,885000,848000,6565000,,4453000,263000,18000,62000,485000,41048669.0900156,19667000,6000,223529294.844456,123000,96000,1134000,487000,24086221.5013966,136000,229000,476000,541000,,682000,383000,13292000,63922000,757000,104000,39000,887000,472000,9595000,3111000,275000,,2026000,431863130.717513,817000,16487307.7620947,498000,534000,1064000,1933000,59000,54000,13980000,6671925.55105792,3087000,,5560000,250000,33000,672527.114314408,421881407.133912,189000,587000,4794000,23309000,,4321774.19403917,7511000,52000,427000,5855000,,28400,798000,46000,,312000,19246389.2437571,,19383670.749204,21987836.1907601,9200,60000,1399000,1302000,4276000,256000,381000,132000,2661000,155000,,73015626.4057146,83740735.2493253,58000,10873000,,10800,42407000,,24061476.8647984,37000,4321774.19403917,19383670.749204,384000,5064000,12790000,1300,550000,254000,10517000,170545154.307539,1258000,43581000,332000,78000,432000,282000,520000,2628000,49000,698373642.774364,89000,,98000,6430000,565000,2041000
2003,642000,,107000,557000,3138000,40811528.7515241,5871000,2995000,206000,,239000,4746000,19078000,768000,74000,6690000,175000,163000,245000,4048000,4844000,1510000,165000,64000,221000,257000,427000,4133000,531000,,6300,1406000,5700,17534000,45480000,6530000,,1614000,32970000,,,35000,23000,625000,20600,150000,1239000,5105000,1847000,221000,294000,2303000,5076000,18399000,23200,73000,3474000,3282000,1166000,65681094.6078643,98240634.8982327,107631075.257859,73416017.6657508,398184918.951461,761000,5746000,257998000,80000,50854000,1462000,180000,327323000,9961757.67808811,2047000,431000,75048000,,18200,222000,22787000,313000,531000,,44000,89000,,,13969000,142000,,880000,910000,101000,453989056.389966,9676000,611000,7287591.878977,7409000,136000,2948000,225692812.21052,246772453.966112,19483068.1872957,6034853.78693005,4467000,13452371.6414638,,2726000,,6764000,1546000,,317000,1063000,39604000,1350000,2353000,5212000,3237000,927000,342000,701000,4900,91000,4753000,94000,41479000,196000,1016000,,,277000,53098681.5806777,7515001.97074551,7500937.31893102,49000,501000,56646091.4034279,231786015.958225,329000,152579968.325431,1491000,867000,971000,6309000,,4761000,235000,21000,139000,564000,42904447.9966044,18665000,7200,222309273.354758,158000,110000,1127000,597000,25506081.3956951,142000,201000,459000,441000,,702000,424000,10577000,59009000,695000,102000,55000,924000,526000,9181000,3269000,338000,,2086000,425629237.828802,1039000,16977140.8067726,501000,566000,1136000,1907000,63000,56000,13720000,6851660.45115596,3238000,,5383000,268000,37000,717544.759234595,416388107.577973,213000,557000,5595000,22521000,,4966540.25175709,7332000,52000,354000,4703000,6600,38100,720000,41000,,339000,20183641.1878471,,20310212.2017565,22792049.7775924,10000,82000,1387000,1373000,4268000,461000,428000,122000,2598000,164000,,64906991.1956374,87256905.7420437,61000,10082000,,8200,43405000,,25477739.5043542,40000,4966540.25175709,20310212.2017565,409000,5114000,13341000,1400,552000,305000,12514000,165855056.98574,1420000,41218000,231000,79000,337000,278000,538000,2429000,50000,689014948.422941,92000,,155000,6505000,413000,2256000
2004,728000,,194000,645000,2791000,48610393.7322613,6195000,3457000,263000,,246000,5215000,19374000,989000,133000,6710000,174000,222000,271000,4630000,5667000,1561000,190000,67000,231000,272000,480000,4794000,552000,119000,9200,1523000,8200,19145000,50292000,,,1785000,41761000,,,36000,31000,791000,23300,157000,1453000,5425000,2017000,223000,260000,2349000,6061000,20137000,26300,80000,4421000,3450000,1234000,84046166.604936,114781657.103431,137722518.64047,83598905.9719252,416511866.580577,819000,7795000,259716000,87000,52430000,1750000,184000,337254000,11184854.1552414,2083000,504000,74433000,,19300,244000,25678000,368000,584000,,45000,90000,,,13313000,134000,,1182000,1160000,122000,484529091.789789,13655000,641000,8286310.82951919,7912000,96000,3270000,264957539.582053,289376117.997959,22521352.3890059,6323159.37647797,5321000,16258552.3207465,,3457000,,6953000,1659000,,360000,1505600,37071000,1415000,2853000,6138000,4291000,1199000,398000,1055000,3400,118000,5818000,91000,46635000,407000,1278000,,43000,298000,59365998.091641,9177257.57280849,7656131.67995904,48500,566000,69924030.0318758,273586892.712565,304000,176778159.468471,1800000,878000,1079000,8324000,,5477000,250000,69000,229000,617000,50985788.6682328,20618000,9000,263378239.930567,165000,113000,1156000,657000,31263864.5282788,188000,301000,536000,470000,,719000,427000,15703000,65503000,716000,100000,57000,962000,615000,9646000,3628000,385000,,2325000,449073735.549367,1195000,18795696.3402812,648000,621000,1350000,2291000,89000,59000,14290000,8112613.10965629,3541000,,5654000,309000,56000,835377.602939226,445265030.657886,212000,732000,6600000,22064000,,6057158.42639467,8599000,61000,363000,6553000,5600,43600,951000,42000,,392000,21262063.3965102,,21387435.7671069,25035447.2534127,10600,138000,1401000,1499000,4676000,459000,475000,121000,3399000,173000,,83064002.200147,98002332.542285,83000,11737000,,14800,48966000,,31218042.3509877,41000,6057158.42639467,21387435.7671069,443000,5998000,16826000,1300,566000,512000,15629000,193685709.270934,1756000,46086000,262000,87000,486000,304000,563000,2928000,61000,761455425.551967,98000,,274000,6678000,515000,1854000
